arm,class,test,mode,seconds
wide,cpu,memgraph__unit__interpreter,isolated,15.06
wide,cpu,memgraph__unit__query_expression_evaluator,isolated,23.31
wide,timer,memgraph__unit__utils_scheduler,isolated,55.79
wide,fs,memgraph__unit__storage_v2_indices,isolated,9.54
wide,fs,memgraph__unit__storage_v2_constraints,isolated,19.24
wide,fs,memgraph__unit__storage_v2_indices,contended,15.03
wide,fs,memgraph__unit__storage_v2_constraints,contended,25.91
wide,cpu,memgraph__unit__interpreter,contended,27.68
wide,cpu,memgraph__unit__query_expression_evaluator,contended,32.67
wide,timer,memgraph__unit__utils_scheduler,contended,56.84
smt_packed,cpu,memgraph__unit__interpreter,isolated,18.27
smt_packed,cpu,memgraph__unit__query_expression_evaluator,isolated,38.26
smt_packed,timer,memgraph__unit__utils_scheduler,isolated,56.74
smt_packed,fs,memgraph__unit__storage_v2_indices,isolated,16.73
smt_packed,fs,memgraph__unit__storage_v2_constraints,isolated,20.63
smt_packed,fs,memgraph__unit__storage_v2_indices,contended,15.41
smt_packed,fs,memgraph__unit__storage_v2_constraints,contended,23.92
smt_packed,cpu,memgraph__unit__interpreter,contended,24.34
smt_packed,cpu,memgraph__unit__query_expression_evaluator,contended,32.51
smt_packed,timer,memgraph__unit__utils_scheduler,contended,57.63
wide_repeat,cpu,memgraph__unit__interpreter,isolated,15.01
wide_repeat,cpu,memgraph__unit__query_expression_evaluator,isolated,19.56
wide_repeat,timer,memgraph__unit__utils_scheduler,isolated,56.65
wide_repeat,fs,memgraph__unit__storage_v2_indices,isolated,9.33
wide_repeat,fs,memgraph__unit__storage_v2_constraints,isolated,17.70
wide_repeat,fs,memgraph__unit__storage_v2_indices,contended,18.38
wide_repeat,fs,memgraph__unit__storage_v2_constraints,contended,27.29
wide_repeat,cpu,memgraph__unit__interpreter,contended,27.61
wide_repeat,cpu,memgraph__unit__query_expression_evaluator,contended,36.91
wide_repeat,timer,memgraph__unit__utils_scheduler,contended,55.85
io_contended,cpu,memgraph__unit__interpreter,isolated,167.46
io_contended,cpu,memgraph__unit__query_expression_evaluator,isolated,237.79
io_contended,timer,memgraph__unit__utils_scheduler,isolated,55.90
io_contended,fs,memgraph__unit__storage_v2_indices,isolated,113.67
io_contended,fs,memgraph__unit__storage_v2_constraints,isolated,119.93
io_contended,timer,memgraph__unit__utils_scheduler,contended,56.16
io_contended,fs,memgraph__unit__storage_v2_constraints,contended,216.54
io_contended,fs,memgraph__unit__storage_v2_indices,contended,221.57
io_contended,cpu,memgraph__unit__interpreter,contended,383.80
io_contended,cpu,memgraph__unit__query_expression_evaluator,contended,461.05
