Found 487 trace files
  Processing 50/487...
  Processing 100/487...
  Processing 150/487...
  Processing 200/487...
  Processing 250/487...
  Processing 300/487...
  Processing 350/487...
  Processing 400/487...
  Processing 450/487...

Top 100 most expensive headers (by total parse time across all TUs):
Rank  Total (ms)  Avg (ms)   TUs  Header
------------------------------------------------------------------------------------------------------------------------
   1    237647.6    3008.2    79  /home/ivan.linux/work/memgraph/src/storage/v2/inmemory/storage.hpp
   2    205250.7    2534.0    81  /home/ivan.linux/work/memgraph/src/storage/v2/durability/durability.hpp
   3    198236.3    2509.3    79  /home/ivan.linux/work/memgraph/src/storage/v2/inmemory/replication/recovery.hpp
   4    191061.6    2301.9    83  /home/ivan.linux/work/memgraph/src/storage/v2/durability/wal.hpp
   5    159390.5     590.3   270  /home/ivan.linux/work/memgraph/src/storage/v2/property_value.hpp
   6    156468.3    1117.6   140  /home/ivan.linux/work/memgraph/src/storage/v2/storage.hpp
   7    149421.7     970.3   154  /home/ivan.linux/work/memgraph/src/storage/v2/transaction.hpp
   8    145532.4    3465.1    42  /home/ivan.linux/work/memgraph/tests/unit/disk_test_utils.hpp
   9    137272.1    3813.1    36  /home/ivan.linux/work/memgraph/src/dbms/database.hpp
  10    131458.9     906.6   145  /home/ivan.linux/work/memgraph/src/storage/v2/indices/indices.hpp
  11    129596.3    2699.9    48  /home/ivan.linux/work/memgraph/src/storage/v2/disk/storage.hpp
  12    122424.9    1345.3    91  /home/ivan.linux/work/memgraph/src/query/plan/operator.hpp
  13    108708.1     862.8   126  /home/ivan.linux/work/memgraph/src/query/typed_value.hpp
  14    107693.1    1455.3    74  /home/ivan.linux/work/memgraph/src/query/trigger.hpp
  15    106183.7     727.3   146  /home/ivan.linux/work/memgraph/src/storage/v2/indices/text_edge_index.hpp
  16    100760.9     799.7   126  /home/ivan.linux/work/memgraph/src/query/path.hpp
  17    100447.8     509.9   197  /home/ivan.linux/work/memgraph/src/storage/v2/edge.hpp
  18     99324.3    1398.9    71  /home/ivan.linux/work/memgraph/src/query/db_accessor.hpp
  19     98965.2     552.9   179  /home/ivan.linux/work/memgraph/src/storage/v2/edge_accessor.hpp
  20     96478.1    1303.8    74  /home/ivan.linux/work/memgraph/src/query/cypher_query_interpreter.hpp
  21     94939.7     912.9   104  /home/ivan.linux/work/memgraph/src/query/frontend/ast/ast.hpp
  22     94860.8     636.6   149  /home/ivan.linux/work/memgraph/src/storage/v2/inmemory/label_index.hpp
  23     92661.3     718.3   129  /home/ivan.linux/work/memgraph/src/query/edge_accessor.hpp
  24     89238.7     598.9   149  /home/ivan.linux/work/memgraph/src/storage/v2/indices/indices_utils.hpp
  25     85114.0     198.9   428  /opt/toolchain-v7/bin/../lib/gcc/aarch64-linux-gnu/15.1.0/../../../../include/c++/15.1.0/chrono
  26     84533.5     494.3   171  /home/ivan.linux/work/memgraph/src/replication/include/replication/replication_client.hpp
  27     82420.4     394.4   209  /home/ivan.linux/work/memgraph/src/storage/v2/delta.hpp
  28     80805.2    1049.4    77  /home/ivan.linux/work/memgraph/src/query/plan/read_write_type_checker.hpp
  29     79774.2     539.0   148  /home/ivan.linux/work/memgraph/src/storage/v2/vertices_iterable.hpp
  30     78759.1    4375.5    18  /home/ivan.linux/work/memgraph/src/query/procedure/mg_procedure_impl.hpp
  31     77627.2    1411.4    55  /home/ivan.linux/work/memgraph/src/query/context.hpp
  32     74746.7     359.4   208  /home/ivan.linux/work/memgraph/src/storage/v2/constraints/type_constraints_validator.hpp
  33     73415.6     354.7   207  /home/ivan.linux/work/memgraph/src/storage/v2/property_store.hpp
  34     72879.7     350.4   208  /home/ivan.linux/work/memgraph/src/storage/v2/constraints/type_constraints_kind.hpp
  35     68581.5    2857.6    24  /home/ivan.linux/work/memgraph/tests/unit/query_common.hpp
  36     65441.4    1363.4    48  /home/ivan.linux/work/memgraph/src/storage/v2/disk/edge_import_mode_cache.hpp
  37     64937.9     177.4   366  /home/ivan.linux/work/memgraph/src/utils/logging.hpp
  38     64280.5     417.4   154  /home/ivan.linux/work/memgraph/src/storage/v2/schema_info.hpp
  39     63183.9     424.1   149  /home/ivan.linux/work/memgraph/src/storage/v2/mvcc.hpp
  40     61283.6     346.2   177  /home/ivan.linux/.conan2/p/b/gtest3d84259e0f224/p/include/gtest/gtest.h
  41     60454.4     129.2   468  /opt/toolchain-v7/bin/../lib/gcc/aarch64-linux-gnu/15.1.0/../../../../include/c++/15.1.0/format
  42     60379.7     129.6   466  /opt/toolchain-v7/bin/../lib/gcc/aarch64-linux-gnu/15.1.0/../../../../include/c++/15.1.0/ostream
  43     58818.1     321.4   183  /home/ivan.linux/work/memgraph/src/rpc/client.hpp
  44     58338.4     297.6   196  /home/ivan.linux/work/memgraph/src/storage/v2/replication/serialization.hpp
  45     58057.7     377.0   154  /home/ivan.linux/work/memgraph/src/storage/v2/schema_info_types.hpp
  46     57231.6    3577.0    16  /home/ivan.linux/work/memgraph/src/dbms/dbms_handler.hpp
  47     57182.5     122.7   466  /opt/toolchain-v7/bin/../lib/gcc/aarch64-linux-gnu/15.1.0/../../../../include/c++/15.1.0/istream
  48     55458.1     287.3   193  /home/ivan.linux/work/memgraph/src/rpc/messages.hpp
  49     54834.2     261.1   210  /home/ivan.linux/.conan2/p/b/absei12877ea1ec2b6/p/include/absl/container/flat_hash_map.h
  50     54066.5     257.5   210  /home/ivan.linux/work/memgraph/src/storage/v2/durability/serialization.hpp
  51     51163.8     350.4   146  /home/ivan.linux/work/memgraph/src/storage/v2/indices/text_index.hpp
  52     50676.6     201.1   252  /home/ivan.linux/work/memgraph/src/storage/v2/config.hpp
  53     50654.0     109.4   463  /opt/toolchain-v7/bin/../lib/gcc/aarch64-linux-gnu/15.1.0/../../../../include/c++/15.1.0/sstream
  54     48560.8     527.8    92  /home/ivan.linux/work/memgraph/src/query/common.hpp
  55     48539.2     130.1   373  /home/ivan.linux/work/memgraph/src/utils/exceptions.hpp
  56     47674.0     220.7   216  /home/ivan.linux/work/memgraph/libs/nlohmann_json/include/nlohmann/json.hpp
  57     47148.4    1122.6    42  /home/ivan.linux/work/memgraph/src/auth/auth.hpp
  58     44320.3     239.6   185  /home/ivan.linux/work/memgraph/src/communication/client.hpp
  59     43934.5     309.4   142  /home/ivan.linux/work/memgraph/src/storage/v2/replication/replication_storage_state.hpp
  60     43580.7     357.2   122  /home/ivan.linux/.conan2/p/range0301bf3d76d5d/p/include/range/v3/all.hpp
  61     43109.7     255.1   169  /home/ivan.linux/work/memgraph/src/storage/v2/indices/label_property_index.hpp
  62     42800.6     157.4   272  /home/ivan.linux/work/memgraph/src/storage/v2/name_id_mapper.hpp
  63     42677.3      89.3   478  /opt/toolchain-v7/bin/../lib/gcc/aarch64-linux-gnu/15.1.0/../../../../include/c++/15.1.0/string
  64     42469.0     451.8    94  /home/ivan.linux/work/memgraph/src/query/plan/preprocess.hpp
  65     41907.9     109.7   382  /home/ivan.linux/.conan2/p/b/spdloe879a3cf3797d/p/include/spdlog/common.h
  66     41888.4     290.9   144  /home/ivan.linux/work/memgraph/src/storage/v2/replication/replication_transaction.hpp
  67     41222.9     196.3   210  /home/ivan.linux/.conan2/p/b/absei12877ea1ec2b6/p/include/absl/container/hash_container_defaults.h
  68     41195.9     196.2   210  /home/ivan.linux/.conan2/p/b/absei12877ea1ec2b6/p/include/absl/container/internal/hash_function_defaults.h
  69     39853.2      87.2   457  /opt/toolchain-v7/bin/../lib/gcc/aarch64-linux-gnu/15.1.0/../../../../include/c++/15.1.0/memory
  70     39511.9    1097.6    36  /home/ivan.linux/work/memgraph/src/query/stream/streams.hpp
  71     38530.6      92.6   416  /home/ivan.linux/.conan2/p/b/fmt40e52d9001737/p/include/fmt/format.h
  72     38469.3     201.4   191  /home/ivan.linux/.conan2/p/range0301bf3d76d5d/p/include/range/v3/view.hpp
  73     38328.6      95.6   401  /home/ivan.linux/.conan2/p/b/fmt40e52d9001737/p/include/fmt/ostream.h
  74     38084.3    4231.6     9  /home/ivan.linux/work/memgraph/tests/unit/query_plan_common.hpp
  75     37497.9      98.4   381  /home/ivan.linux/.conan2/p/b/spdloe879a3cf3797d/p/include/spdlog/spdlog.h
  76     36824.0     102.0   361  /opt/toolchain-v7/bin/../lib/gcc/aarch64-linux-gnu/15.1.0/../../../../include/c++/15.1.0/ranges
  77     36058.4      90.4   399  /opt/toolchain-v7/bin/../lib/gcc/aarch64-linux-gnu/15.1.0/../../../../include/c++/15.1.0/filesystem
  78     35942.0     230.4   156  /home/ivan.linux/work/memgraph/src/storage/v2/indices/text_index_utils.hpp
  79     35537.7    2221.1    16  /home/ivan.linux/work/memgraph/src/query/interpreter.hpp
  80     35499.5     185.9   191  /home/ivan.linux/work/memgraph/src/communication/context.hpp
  81     35409.8     244.2   145  /home/ivan.linux/work/memgraph/src/storage/v2/replication/replication_client.hpp
  82     35380.9      75.3   470  /opt/toolchain-v7/bin/../lib/gcc/aarch64-linux-gnu/15.1.0/../../../../include/c++/15.1.0/ios
  83     34766.6     182.0   191  /home/ivan.linux/.conan2/p/b/boostcbf866f58c570/p/include/boost/asio/ssl/context.hpp
  84     33992.8     354.1    96  /home/ivan.linux/work/memgraph/src/query/frontend/semantic/symbol_table.hpp
  85     32616.7     210.4   155  /home/ivan.linux/work/memgraph/src/storage/v2/enum_store.hpp
  86     31906.9     322.3    99  /home/ivan.linux/work/memgraph/src/replication/include/replication/state.hpp
  87     31351.7     368.8    85  /home/ivan.linux/work/memgraph/src/system/include/system/transaction.hpp
  88     31279.0     319.2    98  /home/ivan.linux/work/memgraph/src/query/frontend/ast/query/exists.hpp
  89     30918.0     199.5   155  /home/ivan.linux/work/memgraph/src/storage/v2/indices/active_indices.hpp
  90     30837.8     177.2   174  /home/ivan.linux/work/memgraph/src/replication_coordination_glue/messages.hpp
  91     30753.1     394.3    78  /home/ivan.linux/work/memgraph/src/parameters/parameters.hpp
  92     30646.7     120.7   254  /home/ivan.linux/work/memgraph/src/utils/compressor.hpp
  93     30454.6     109.9   277  /home/ivan.linux/work/memgraph/src/utils/skip_list.hpp
  94     29271.5      62.1   471  /opt/toolchain-v7/bin/../lib/gcc/aarch64-linux-gnu/15.1.0/../../../../include/c++/15.1.0/bits/ios_base.h
  95     28993.7      60.7   478  /opt/toolchain-v7/bin/../lib/gcc/aarch64-linux-gnu/15.1.0/../../../../include/c++/15.1.0/bits/basic_string.h
  96     28928.0     482.1    60  /home/ivan.linux/.conan2/p/b/gtest3d84259e0f224/p/include/gmock/gmock.h
  97     28919.7      71.6   404  /home/ivan.linux/.conan2/p/b/fmt40e52d9001737/p/include/fmt/chrono.h
  98     28711.8     345.9    83  /home/ivan.linux/work/memgraph/src/system/include/system/action.hpp
  99     28593.8      95.0   301  /home/ivan.linux/work/memgraph/src/utils/string.hpp
 100     28573.6     100.3   285  /home/ivan.linux/work/memgraph/src/utils/memory.hpp
